"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Alberta","2016A000248","Both sexes","40 to 44 years","Persons","249","units","0","v469671","10.1.55","319889","","","","0"
"2020","Alberta","2016A000248","Both sexes","45 to 49 years","Persons","249","units","0","v469692","10.1.61","288546","","","","0"
"2020","Alberta","2016A000248","Both sexes","50 to 54 years","Persons","249","units","0","v469710","10.1.67","266489","","","","0"
"2020","Alberta","2016A000248","Both sexes","55 to 59 years","Persons","249","units","0","v469731","10.1.73","284259","","","","0"
"2020","Alberta","2016A000248","Both sexes","60 to 64 years","Persons","249","units","0","v469749","10.1.79","264339","","","","0"
"2020","Alberta","2016A000248","Both sexes","65 to 69 years","Persons","249","units","0","v469770","10.1.85","210073","","","","0"
"2020","Alberta","2016A000248","Both sexes","70 to 74 years","Persons","249","units","0","v469773","10.1.86","157657","","","","0"
"2020","Alberta","2016A000248","Both sexes","75 to 79 years","Persons","249","units","0","v469776","10.1.87","102977","","","","0"
"2020","Alberta","2016A000248","Both sexes","80 to 84 years","Persons","249","units","0","v469779","10.1.88","68565","","","","0"
"2020","Alberta","2016A000248","Both sexes","85 to 89 years","Persons","249","units","0","v469782","10.1.89","44033","","","","0"
"2020","Alberta","2016A000248","Both sexes","90 to 94 years","Persons","249","units","0","v31226875","10.1.126","20921","","","","0"
"2020","Alberta","2016A000248","Both sexes","95 to 99 years","Persons","249","units","0","v31226881","10.1.132","5746","","","","0"
"2020","Alberta","2016A000248","Both sexes","100 years and over","Persons","249","units","0","v31226887","10.1.138","1002","","","","0"
"2020","Alberta","2016A000248","Both sexes","Median age","Years","308","units","0","v469524","10.1.105","37.5","","","","1"
"2020","British Columbia","2016A000259","Both sexes","All ages","Persons","249","units","0","v469818","11.1.1","5147712","","","","0"
"2020","British Columbia","2016A000259","Both sexes","0 to 4 years","Persons","249","units","0","v470034","11.1.7","225897","","","","0"
"2020","British Columbia","2016A000259","Both sexes","5 to 9 years","Persons","249","units","0","v469848","11.1.13","244206","","","","0"
"2020","British Columbia","2016A000259","Both sexes","10 to 14 years","Persons","249","units","0","v469866","11.1.19","249173","","","","0"
"2020","British Columbia","2016A000259","Both sexes","15 to 19 years","Persons","249","units","0","v469887","11.1.25","272195","","","","0"
"2020","British Columbia","2016A000259","Both sexes","20 to 24 years","Persons","249","units","0","v469908","11.1.31","340325","","","","0"
"2020","British Columbia","2016A000259","Both sexes","25 to 29 years","Persons","249","units","0","v469926","11.1.37","358457","","","","0"
"2020","British Columbia","2016A000259","Both sexes","30 to 34 years","Persons","249","units","0","v469947","11.1.43","376466","","","","0"
"2020","British Columbia","2016A000259","Both sexes","35 to 39 years","Persons","249","units","0","v469965","11.1.49","363871","","","","0"
"2020","British Columbia","2016A000259","Both sexes","40 to 44 years","Persons","249","units","0","v469986","11.1.55","323620","","","","0"
"2020","British Columbia","2016A000259","Both sexes","45 to 49 years","Persons","249","units","0","v470007","11.1.61","325674","","","","0"
"2020","British Columbia","2016A000259","Both sexes","50 to 54 years","Persons","249","units","0","v470025","11.1.67","343894","","","","0"
"2020","British Columbia","2016A000259","Both sexes","55 to 59 years","Persons","249","units","0","v470046","11.1.73","376848","","","","0"
"2020","British Columbia","2016A000259","Both sexes","60 to 64 years","Persons","249","units","0","v470064","11.1.79","360150","","","","0"
"2020","British Columbia","2016A000259","Both sexes","65 to 69 years","Persons","249","units","0","v470085","11.1.85","314021","","","","0"
"2020","British Columbia","2016A000259","Both sexes","70 to 74 years","Persons","249","units","0","v470088","11.1.86","262197","","","","0"
"2020","British Columbia","2016A000259","Both sexes","75 to 79 years","Persons","249","units","0","v470091","11.1.87","174377","","","","0"
"2020","British Columbia","2016A000259","Both sexes","80 to 84 years","Persons","249","units","0","v470094","11.1.88","115218","","","","0"
